LanTotal2019,ChenTotal2020,ChenTotal2019,ShiTotal2020,ShiTotal2019,LanTotal2019.Writing,LanTotal2019.Feasibility,LanTotal2019.Creativity,LanTotal2019.Potential_impact,ChenTotal2020.Writing,ChenTotal2020.Feasibility,ChenTotal2020.Creativity,ChenTotal2020.Potential_impact,ShiTotal2020.Writing,ShiTotal2020.Feasibility,ShiTotal2020.Creativity,ShiTotal2020.Potential_impact,text_length,sd_length,lds,kw_text,feamatch,crvmatch,BadEssayMatch,GoodEssayMatch
9,7,7.5,6.5,7.5,3.5,2,2,1.5,1,2,2,2,3,1,1.5,1,71,4.596194,3.7,17.95,2,3,0.59,1.26
8,7.5,7,7.5,8.5,3,1.5,1.5,2,2.5,1.5,1.5,2,3,1,1.5,1.5,562,13.909329,10.38,14.16,13,16,1.52,5.16
6,3.5,8,6,7,2.5,1,1.5,1,1,1,1,0.5,3,1,2,0.5,2570,17.240742,10.03265306,9.71,13,15,2.14,5.15
6.5,5,6,7.5,7.5,2.5,1.5,1,1.5,1.5,1.5,1,1,3,1.5,1,1.5,212,18.318934,11.4,12.37,13,9,2.37,5.41
8,5.5,6,6,6.5,3,1.5,1.5,2,1.5,1.5,1,1.5,2.5,0.5,1.5,1,225,15.909903,18.3,12.18,13,10,1.81,5.54
7.5,5.5,6.5,5.5,6,3,1.5,1.5,1.5,1,1.5,1.5,1.5,3,0.5,1,1,139,20.506097,10.4,14.58,6,3,2.43,3.51
6.5,3,6,8.5,7,3,1,1.5,1,1.5,0.5,0.5,0.5,3.5,1.5,1.5,2,183,4.248529,5.72,23.73,8,9,1.42,4.1
6.5,4.5,7,8,8,3,1,1.5,1,1.5,1,1,1,3.5,1.5,1.5,1.5,184,12.192894,7.4,25.49,9,11,2.24,4.2
7.5,4.5,6,7.5,7.5,3.5,1,1.5,1.5,2,0.5,1,1,3,1,1.5,1.5,220,14.517231,9.1,11.11,13,12,2.48,4.27
7,6.5,8,6,7.5,3,1.5,1,1.5,2,1.5,1.5,1.5,2.5,1.5,1,1,201,16.424068,8.3,6.27,10,12,2.36,4.44
7,6,6,9,9,3.5,1.5,2,1,2,1,1.5,1.5,3.5,2,2,1.5,218,16.127099,12.06666667,15.08,6,13,1.69,5.61
8,4.5,9,7,7,3,1.5,1.5,2,1.5,1,1,1,3,1,1.5,1.5,210,4.368447,10.86666667,15.32,10,11,1.92,2.92
7.5,7,8,6.5,7,3,1.5,1.5,1.5,2.5,1.5,1.5,1.5,3,1,1.5,1,1040,12.658566,9.085714286,21.36,13,15,2.35,5.67
7.5,6.5,7,9,8.5,3,2,1,1.5,2,1.5,1.5,1.5,3,2,2,2,321,13.578256,8.028571429,18,13,16,2.69,3.08
8.5,3,6.5,6,6.5,3,1.5,2,2,1.5,0.5,0.5,0.5,3,1,1,1,185,19.094065,9.666666667,13.98,9,10,1.53,3.48
6.5,4.5,7,6,6,2.5,1,1.5,1.5,1.5,0.5,1.5,1,3,1,1,1,130,3.872983,4.6,13.56,8,9,1.7,3.4
6.5,6.5,5,7,7,3,1,1.5,1,2,1.5,1.5,1.5,2.5,1,1.5,1.5,196,5.349677,4.571428571,12.42,15,12,2.61,2.84
7.5,3.5,8,7.5,7.5,3,1.5,2,1,1.5,0.5,1,0.5,3,2,1,1.5,153,17.974519,7.666666667,17.69,6,7,1.74,2.56
6.5,4,5,7,7.5,2.5,2,1,1,1,0.5,1,0.5,3,1.5,1.5,1,155,5.115336,5.8,21.86,7,4,1.49,4.42
7,3,6,7,7.5,3,1.5,1.5,1,1.5,0.5,0.5,0.5,3,1,1.5,1,210,10.102599,8.55,16.67,11,11,2.32,5.02
7,5.5,5,7,7,3,1,1.5,1.5,2,1,1,1.5,3,1,1.5,1.5,238,10.625665,5.685714286,16.03,14,16,2.46,4.71
7,7.5,7,7,6.5,3,0.5,2,1.5,2.5,2,1.5,1.5,3.5,1,1.5,1,393,52.064863,23.2,12.12,12,17,2.48,4.16
7.5,7,5,6.5,7,3,2,1,1.5,2,1.5,2,1.5,2.5,1,1.5,1.5,176,21.071308,9.2,12.99,10,10,2.27,4.26
6.5,3.5,7,7.5,7.5,3,1,1.5,1,2,0.5,0.5,0.5,3,1.5,1,1.5,178,4.010403,8.133333333,18.39,12,14,1.91,5.64
7,5,7,7,7.5,3,1,1.5,1.5,1.5,1.5,1,1,3,2,1,1,307,5.670517,7.714285714,13.19,13,10,2.88,3.54
8,7.5,6,7,6.5,3,1.5,1.5,2,1.5,2,2,2,3,1.5,1.5,1,166,5.812164,3.125,13.79,11,12,3.15,2.9
8,6,6.5,7.5,7,3.5,1.5,1.5,1.5,2,1,1.5,1.5,3,1,2,1,209,20.196431,8.35,16.67,11,7,1.86,3.2
7,7,6,7.5,7,3,1,1.5,1.5,2.5,1.5,1.5,1.5,3,1,1.5,1.5,210,10.610529,11.46666667,16.34,10,10,2.42,5.83
6.5,8.5,7,7.5,7,2.5,1.5,1,1.5,2.5,2,2,2,3.5,1,1.5,1.5,282,29.818898,12.2,11.65,15,14,1.9,3.31
9,8,6.5,8.5,8,3.5,2,2,1.5,2,2,2,2,3.5,1,2,1.5,232,9.004628,12.26666667,15.11,11,5,1.18,2.8
7,6.5,7.5,8,7.5,3,1,1.5,1.5,2,1.5,1.5,1.5,3,1.5,2,1.5,367,22.484995,10.9,19.22,15,17,2.01,4.89
7,5.5,7,7.5,7,3,1.5,1.5,1,1.5,1.5,1.5,1,3,1.5,1.5,1.5,222,10.68293,6.4,19.84,12,7,2.17,5.49
9,4.5,7,7,5.5,3.5,2,2,1.5,1.5,1,1,1,3,1,2,1,149,3.181981,11.3,13.89,10,11,2.22,2.36
7,5.5,7,8,6.5,3.5,1,1.5,1,2,1.5,1.5,0.5,3.5,2,1,1.5,280,25.014996,16.2,15.64,12,11,1.78,1.7
6.5,3.5,,,,3,1,1.5,1,2,0.5,0.5,0.5,,,,,349,43.434577,15.55,19.48,13,6,1.74,3.5
6.5,7.5,,,,3,1,1.5,1,1.5,2,2,2,,,,,177,5.297405,6.55,20.25,8,10,1.33,4.45
8,6,,,,3,2,1.5,1.5,2,1.5,1,1.5,,,,,208,13.205901,8.35,15.44,13,15,2.88,4.21
7,8,,,,3,1.5,1.5,1,2,2,2,2,,,,,335,7.179833,10.8,5.13,15,12,1.45,4.47
7,5.5,,,,3,1,2,1,2,1,1.5,1,,,,,398,13.144798,8.675,10.46,15,17,2.76,2.56
7,5.5,,,,3,1,1.5,1.5,2,1,1.5,1,,,,,201,12.223611,8.1,15.77,13,10,2.82,5.62
7.5,4,,,,3.5,1,2,1,2,0.5,1,0.5,,,,,314,12.650522,7.828571429,17.65,14,17,2.42,5.99
6,5.5,,,,2.5,1,1,1.5,1,1.5,1.5,1.5,,,,,117,15.909903,8.1,14.67,6,6,0.74,1.94
8.5,6.5,,,,3,2,2,1.5,2,2,1,1.5,,,,,190,7.234178,9.666666667,17.28,6,7,1.87,2.51
8,3.5,,,,3,2,2,1,1.5,1,0.5,0.5,,,,,193,5.215362,6.08,11.56,9,9,1.92,1.91
8.5,3,,,,3,2,2,1.5,1.5,0.5,0.5,0.5,,,,,210,1.767767,17.1,21.93,10,7,1.65,3.81
7,3.5,,,,3,1,2,1,2,0.5,0.5,0.5,,,,,360,19.006359,10.63333333,14.24,12,15,1.36,3.79
6.5,4,,,,3,1,1.5,1,2,0.5,0.5,1,,,,,492,11.313307,8.236363636,9.94,14,11,2.27,4.84
8.5,5,,,,3.5,1.5,2,1.5,2,1,1,1,,,,,285,16.720496,9.48,18.86,14,16,2.48,5.44
8.5,5,,,,3.5,1.5,2,1.5,2,1,1,1,,,,,227,9.037422,7.44,16.83,15,4,2.01,4.55
8.5,6,,,,3,2,2,1.5,2,1.5,1,1.5,,,,,209,5.096684,4.857142857,11.97,11,12,1.63,4.9
7.5,5.5,,,,3,1.5,1.5,1.5,1.5,1,1.5,1.5,,,,,194,8.131728,15.5,14.12,11,10,0.92,4.44
7.5,3.5,,,,3,1,2,1.5,2,0.5,0.5,0.5,,,,,191,17.960605,10.26666667,16.26,12,6,2.25,3.64
9,6,,,,3.5,2,2,1.5,1.5,2,1,1.5,,,,,139,15.716234,6.733333333,21.84,7,9,1.66,3.16
